P1	P2	P3	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
javanicus	HdrR	MIKK	all	0.9072306264586459	324.06734597316375	0.7093523902566835	0.6943606355428754	0.7243441449704916
javanicus	HdrR	MIKK	1	0.9422312818202196	162.46959957993303	0.8090712548290944	0.7776743409361689	0.8404681687220198
javanicus	HdrR	MIKK	2	0.9128440820624532	57.551289402157174	0.7668971502863732	0.69314685343616	0.8406474471365863
javanicus	HdrR	MIKK	3	0.8869725418498698	76.53531886392645	0.6217245789438764	0.5501171715300646	0.6933319863576883
javanicus	HdrR	MIKK	4	0.9318430968102009	72.86056106698368	0.7503846486707177	0.6643958477902294	0.8363734495512061
javanicus	HdrR	MIKK	5	0.8879804567824113	69.6740720741479	0.656541896838497	0.5865892507697121	0.7264945429072818
javanicus	HdrR	MIKK	6	0.8977779503153304	47.16780558190642	0.6777486580531407	0.5782065390550969	0.7772907770511844
javanicus	HdrR	MIKK	7	0.8582311262393517	60.72710530740999	0.5689138395741253	0.5052325290373584	0.6325951501108923
javanicus	HdrR	MIKK	8	0.8587362943701384	88.29589902544099	0.606652725056454	0.5512954618672261	0.6620099882456818
javanicus	HdrR	MIKK	9	0.8943030505368177	67.39050586051852	0.6997832762296868	0.627014904223261	0.7725516482361127
javanicus	HdrR	MIKK	10	0.9343948143287115	124.49944636795271	0.7901589990981489	0.7507440102941297	0.8295739879021681
javanicus	HdrR	MIKK	11	0.8729419942889496	61.252264886482166	0.6222895969746547	0.558297175749177	0.6862820182001323
javanicus	HdrR	MIKK	12	0.9100665833100244	80.36256048036688	0.7060985153882835	0.6294920996612738	0.7827049311152932
javanicus	HdrR	MIKK	13	0.8633929258231736	43.54244256656355	0.6114187865481095	0.5340186741319963	0.6888188989642228
javanicus	HdrR	MIKK	14	0.8987356246641633	76.87959056308762	0.7205508176709606	0.6668821717044241	0.7742194636374972
javanicus	HdrR	MIKK	15	0.8977616471843068	63.06529728440378	0.6674609937667566	0.604028368013378	0.7308936195201352
javanicus	HdrR	MIKK	16	0.9047852143428261	76.97764164482938	0.7045569078025181	0.6432775662236236	0.7658362493814126
javanicus	HdrR	MIKK	17	0.8988151108800726	60.96570103561202	0.6702450982392224	0.5849683305695533	0.7555218659088915
javanicus	HdrR	MIKK	18	0.8854624252346589	72.07683904385699	0.6837729658737395	0.6246097647090766	0.7429361670384024
