P1	P2	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
javanicus	HdrR	1	0.976831936198837	479.338257678452	0.884623452287688	0.770464844807445	0.8281964187072
javanicus	HdrR	2	0.972042319918832	148.05719292022	0.892776747897068	0.758003981118168	0.840657282396477
javanicus	HdrR	3	0.935637475507246	112.244401655911	0.732996448833807	0.719540062426521	0.879121201088124
javanicus	HdrR	4	0.96590965624292	136.445561282042	0.820438448460696	0.729753572935384	0.86890769057926
javanicus	HdrR	5	0.947242566609058	79.0831355620587	0.758776037122344	0.700095651725622	0.898565611789023
javanicus	HdrR	6	0.947880316563521	63.6604119390001	0.761392563119351	0.675877147576641	0.922784115938004
javanicus	HdrR	7	0.914920797515208	87.158079420506	0.649775907635159	0.719896107389174	0.878765156125471
javanicus	HdrR	8	0.893659575859713	37.4970498696631	0.663557772538956	0.681385962108398	0.917275301406247
javanicus	HdrR	9	0.934969356497121	99.7768393631573	0.754963940931922	0.719632377967689	0.879028885546956
javanicus	HdrR	10	0.975982197899031	231.004731960532	0.875171729883452	0.762412653766567	0.836248609748078
javanicus	HdrR	11	0.912437787593731	69.7719919292793	0.657878395643291	0.709406616261304	0.889254647253341
javanicus	HdrR	12	0.960777257490006	150.147838586865	0.848178428243871	0.734684538052526	0.863976725462119
javanicus	HdrR	13	0.920390526406316	74.3096624885513	0.65254856837738	0.708470717274894	0.890190546239751
javanicus	HdrR	14	0.965740609304438	129.334785253184	0.840075317343701	0.733629351996716	0.865031911517929
javanicus	HdrR	15	0.934104873086371	80.2011400058111	0.717366392542765	0.721650518634136	0.877010744880509
javanicus	HdrR	16	0.949008502772659	73.9403810846706	0.779167541179404	0.734918954589037	0.863742308925608
javanicus	HdrR	17	0.954104875508944	77.1600778859616	0.746216310132539	0.709960594567968	0.888700668946677
javanicus	HdrR	18	0.953394256897222	120.859057021073	0.83066145308194	0.740919484773091	0.857741778741554
javanicus	HdrR	19	0.954640576528428	164.240292759364	0.807334961519947	0.751604351507232	0.847056912007413
javanicus	HdrR	20	0.9517474474172	68.4751559941707	0.754457687248176	0.678522945009915	0.92013831850473
javanicus	HdrR	21	0.974907804161124	261.858223919989	0.884788647981268	0.763358433393475	0.835302830121169
javanicus	HdrR	22	0.912189254544238	48.0204239182312	0.626244006120131	0.70109213746375	0.897569126050895
javanicus	HdrR	23	0.979655024517511	291.496447367487	0.886225342248713	0.761811118948687	0.836850144565958
javanicus	HdrR	24	0.948994781856195	60.1147128838444	0.788784866131089	0.694962837498606	0.903698426016039
javanicus	HNI	all	0.775148266415765	114.035294690408	0.244085219217079	0.226591329418397	0.261579109015761
javanicus	HNI	1	0.669137569494323	30.469446506096	0.130862755365021	0.220088828182481	0.268081610251677
javanicus	HNI	2	0.757544212641884	22.3944036331992	0.222859328283966	0.164580039652455	0.323590398781703
javanicus	HNI	3	0.834737893089087	79.8108276220621	0.373919402347957	0.214427718793698	0.27374271964046
javanicus	HNI	4	0.687898580298038	20.8540042010686	0.155910539218988	0.201733097888702	0.286437340545457
javanicus	HNI	5	0.854741978811991	65.0692858673045	0.39033737515641	0.217852399047365	0.270318039386794
javanicus	HNI	6	0.86932196490914	86.7667882399252	0.387903194180244	0.227471929690481	0.260698508743678
javanicus	HNI	7	0.823118660698751	56.8465415625269	0.36448879653794	0.213660546029101	0.274509892405058
javanicus	HNI	8	0.766121636390051	20.2036761390497	0.284345473780823	0.123545865650462	0.364624572783697
javanicus	HNI	9	0.820897525082614	83.840836941199	0.363671906968767	0.220668165568853	0.267502272865306
javanicus	HNI	10	0.702889666319704	19.2014995416761	0.150076709357784	0.198400148456536	0.289770289977622
javanicus	HNI	11	0.848908608955646	60.1610466265369	0.432104610613054	0.205624421013484	0.282546017420674
javanicus	HNI	12	0.845840671946879	61.5065175954348	0.389484213689502	0.197258832227832	0.290911606206326
javanicus	HNI	13	0.824833727566228	46.4089789230058	0.366289959778284	0.205047410225109	0.283123028209049
javanicus	HNI	14	0.840848226242124	58.3393021943825	0.299610471671504	0.170720315195475	0.317450123238684
javanicus	HNI	15	0.759408496273039	26.3332375722788	0.240439489116977	0.17256931667183	0.315601121762329
javanicus	HNI	16	0.717634086512321	11.4257421800754	0.230368813799335	0.165224151385604	0.322946287048555
javanicus	HNI	17	0.805076369699641	18.0888487951262	0.280195631529219	0.094157982808506	0.394012455625652
javanicus	HNI	18	0.804412166583663	20.4387561390353	0.301289162426437	0.106464224156647	0.381706214277511
javanicus	HNI	19	0.805240255358629	19.1825715329873	0.287569932518453	0.119250262073965	0.368920176360194
javanicus	HNI	20	0.736029573061035	20.9691654683813	0.209218289695919	0.173732429712872	0.314438008721287
javanicus	HNI	21	0.698105961112009	17.9006758006148	0.148872872270941	0.194999143687337	0.293171294746822
javanicus	HNI	22	0.820363987284846	45.0641428191166	0.362327082405225	0.219669706299786	0.268500732134373
javanicus	HNI	23	0.616393211005089	19.5219546339269	0.0992918128412361	0.218491643424398	0.269678795009761
javanicus	HNI	24	0.760879152127853	23.1761710864088	0.24788229359333	0.17001322147739	0.318157216956768
javanicus	HSOK	all	0.821183832187726	225.537164833407	0.323051171735879	0.313738150447752	0.332364193024007
javanicus	HSOK	1	0.810952632926685	79.8769239103503	0.296606165826788	0.304846777340339	0.34125556613142
javanicus	HSOK	2	0.851983088863904	94.7003581644755	0.366621958739844	0.277542041776644	0.368560301695115
javanicus	HSOK	3	0.840877158489068	89.9027158843059	0.380050652400966	0.294739328288198	0.351363015183561
javanicus	HSOK	4	0.791071880790338	49.4318318551035	0.262675896804413	0.282693371676469	0.36340897179529
javanicus	HSOK	5	0.855930520753067	72.1963568811195	0.385265757337169	0.304567426336234	0.341534917135524
javanicus	HSOK	6	0.869508100279891	84.427774969441	0.376810622262887	0.302926509800472	0.343175833671287
javanicus	HSOK	7	0.81750598420239	41.0967336430816	0.355585159115254	0.289498807990921	0.356603535480838
javanicus	HSOK	8	0.757949365847434	18.1923903144925	0.31838836824039	0.258160069082824	0.387942274388935
javanicus	HSOK	9	0.823817453177499	62.1073559821085	0.359992570065337	0.294414012110023	0.351688331361736
javanicus	HSOK	10	0.819456947277351	61.4596881355332	0.290764174104148	0.302139128963032	0.343963214508727
javanicus	HSOK	11	0.835435715992852	50.3692144813809	0.419921288136797	0.271519081730149	0.37458326174161
javanicus	HSOK	12	0.851124279967791	85.4794539437792	0.393615650722774	0.293903231317036	0.352199112154723
javanicus	HSOK	13	0.833569609940964	53.895983677589	0.364963576198819	0.283776087488226	0.362326255983533
javanicus	HSOK	14	0.857473200599438	79.3347995448605	0.341709349206761	0.275341719066621	0.370760624405138
javanicus	HSOK	15	0.793153374055473	46.3226567014586	0.29545698516016	0.276795629059194	0.369306714412565
javanicus	HSOK	16	0.785797338813215	24.1258272541019	0.310892538526313	0.284066629792529	0.36203571367923
javanicus	HSOK	17	0.854153273689019	47.3092165493523	0.355497630609016	0.275285495094167	0.370816848377592
javanicus	HSOK	18	0.839377643339288	53.0614887177969	0.37226421951803	0.237761211465542	0.408341132006216
javanicus	HSOK	19	0.831526248242145	39.79824736674	0.351292019372245	0.246616689999038	0.399485653472721
javanicus	HSOK	20	0.810260061396572	49.5506880263622	0.309549071179401	0.283524339127299	0.36257800434446
javanicus	HSOK	21	0.819487402257784	51.0344267231371	0.283713772813733	0.295168945039207	0.350933398432552
javanicus	HSOK	22	0.805869028396882	32.4502452033244	0.347647211175548	0.284670507874585	0.361431835597173
javanicus	HSOK	23	0.8154846268497	70.372138133597	0.261579661023845	0.28267106287051	0.363431280601249
javanicus	HSOK	24	0.799918880636589	37.3635723825717	0.30778934925354	0.286091343875701	0.360010999596058
javanicus	melastigma	all	-0.0171006989065289	-2.47222958865264	-0.000918775942125183	-0.00162822331603827	-0.000209328568212096
javanicus	melastigma	1	-0.00768985357513516	-0.387823935914686	-0.000412672539687392	-0.00295006240533936	0.001112510521089
javanicus	melastigma	2	-0.0318012485309292	-0.915944874425796	-0.00166899948148868	-0.00435472003385532	0.00251716814960495
javanicus	melastigma	3	-0.0737776335982377	-1.69869742614994	-0.00397248943325944	-0.00511540524527591	0.00327785336102554
javanicus	melastigma	4	-0.0188465344961932	-0.741256716508287	-0.000976344672368508	-0.00363779431882561	0.00180024243457525
javanicus	melastigma	5	-0.00158397866756016	-0.0394630501565429	-0.000208586422010022	-0.00475699433682816	0.0029194424525778
javanicus	melastigma	6	-0.0156414155955874	-0.359741210094193	-0.000863594443282225	-0.00483211050600874	0.00299455862175837
javanicus	melastigma	7	0.0135071443323439	0.38177292863094	0.000637776919952395	-0.00480783136144553	0.00297027947719516
javanicus	melastigma	8	0.00115398873778541	0.0238448096183743	4.26256734537398e-05	-0.00649106460961239	0.00465351272536202
javanicus	melastigma	9	-0.0508512126931484	-1.36457635475281	-0.0028347379613079	-0.00482869530699385	0.00299114342274348
javanicus	melastigma	10	0.00583560063024899	0.266646114173842	0.000184793758834774	-0.00284691678592716	0.00100936490167679
javanicus	melastigma	11	-0.080274561452589	-1.37803318137682	-0.00440767925588104	-0.0068935904201557	0.00505603853590534
javanicus	melastigma	12	-0.0948516638128669	-2.10700205480661	-0.00472084618443012	-0.00545545417319819	0.00361790228894783
javanicus	melastigma	13	-0.00541142678133453	-0.134760457264469	-0.00022150325879736	-0.00500047754413432	0.00316292565988395
javanicus	melastigma	14	0.00966463366367254	0.232789811765108	0.00054112229127995	-0.00488219601994466	0.00304464413569429
javanicus	melastigma	15	-0.0437340155149294	-1.37605899130201	-0.00217472132663103	-0.00413811256483099	0.00230056068058062
javanicus	melastigma	16	-0.0591049570829884	-1.48370497293614	-0.00299389724642905	-0.00485776698181626	0.00302021509756589
javanicus	melastigma	17	-0.00386693769879337	-0.0701258852784468	-0.00042339189195297	-0.00652434394921757	0.00468679206496721
javanicus	melastigma	18	0.0148379772875252	0.404221573777166	0.000727315452800327	-0.00553568206179617	0.0036981301775458
javanicus	melastigma	19	-0.0105147450483002	-0.224057692423111	-0.000518365406756822	-0.005769518171916	0.00393196628766563
javanicus	melastigma	20	0.0110037436446957	0.306296090183193	0.000678674858944132	-0.00467325448733119	0.00283570260308082
javanicus	melastigma	21	-0.0102936556929214	-0.425826898767977	-0.00054533736333348	-0.00332341235126367	0.0014858604670133
javanicus	melastigma	22	-0.035146567675234	-0.954221963042521	-0.00221552417991467	-0.00539896665464929	0.00356141477039892
javanicus	melastigma	23	0.0217696823791241	0.651210044679939	0.00101993846308712	-0.00444822676868366	0.00261067488443329
javanicus	melastigma	24	-0.0139356677143584	-0.418715375720518	-0.000667265331640591	-0.0046367195697558	0.00279916768550543
melastigma	HdrR	all	0.940306039824329	339.605922233014	0.776356068600754	0.759605725911914	0.793106411289594
melastigma	HdrR	1	0.969980970226467	202.20729633167	0.868907333001104	0.743343783720501	0.809368353481006
melastigma	HdrR	2	0.955704763614199	134.236340111071	0.882301508802382	0.737290308457886	0.815421828743621
melastigma	HdrR	3	0.9195474330625	70.1540864563089	0.702629650899551	0.687557827980314	0.865154309221194
melastigma	HdrR	4	0.966240252840849	194.984464286215	0.830496733564686	0.72054620568424	0.832165931517267
melastigma	HdrR	5	0.941563760610037	70.3230455014039	0.766404769738382	0.68183275323673	0.870879383964777
melastigma	HdrR	6	0.932543598128177	56.2179222278719	0.748541509512304	0.670002684420709	0.882709452780798
melastigma	HdrR	7	0.891778445836996	62.2876108113861	0.616746769570906	0.709863616464577	0.84284852073693
melastigma	HdrR	8	0.914437242789889	45.3324010167314	0.700890858282089	0.675923933920909	0.876788203280598
melastigma	HdrR	9	0.91406817336209	76.6134176432089	0.733156308529992	0.704182392143027	0.84852974505848
melastigma	HdrR	10	0.969422204325473	239.935442337761	0.879120552832674	0.740842572785078	0.81186956441643
melastigma	HdrR	11	0.889569394506408	51.4327217161266	0.649640501727848	0.70221604361227	0.850496093589237
melastigma	HdrR	12	0.915573824229611	49.2134156405964	0.740219770088255	0.662125238046739	0.890586899154768
melastigma	HdrR	13	0.893434472590044	53.4984094838859	0.636899502704496	0.688880954252043	0.863831182949464
melastigma	HdrR	14	0.933430490927522	57.8165919430396	0.782949072923102	0.694003965689359	0.858708171512149
melastigma	HdrR	15	0.938604037346454	95.2453325905795	0.726234915143834	0.707043032486138	0.845669104715369
melastigma	HdrR	16	0.916281872561253	45.7381569059807	0.718254982677951	0.685424932983534	0.867287204217974
