chr,bin_bdr,mean,bin_bdr_kb
19,400,0.291860589428276,0.4
19,500,0.288675585423097,0.5
19,600,0.278668089074063,0.6
19,700,0.270391021284351,0.7
19,800,0.264468210052601,0.8
19,900,0.257980176943385,0.9
19,1000,0.250808343480824,1
20,0,0.467703011527669,0
20,100,0.339045162934815,0.1
20,200,0.317269063275342,0.2
20,300,0.302289317380588,0.3
20,400,0.295172847192054,0.4
20,500,0.289876122384357,0.5
20,600,0.284936827789895,0.6
20,700,0.270443383293119,0.7
20,800,0.265670910985815,0.8
20,900,0.257013632530984,0.9
20,1000,0.254768452959679,1
21,0,0.497553679970249,0
21,100,0.370600115665218,0.1
21,200,0.347783182168314,0.2
21,300,0.33577081669145,0.3
21,400,0.325905018294619,0.4
21,500,0.319452883099353,0.5
21,600,0.31421273840478,0.6
21,700,0.312587305269206,0.7
21,800,0.311644278116982,0.8
21,900,0.303133242544013,0.9
21,1000,0.292093650415062,1
22,0,0.478833888473639,0
22,100,0.344654855159742,0.1
22,200,0.325850906728146,0.2
22,300,0.311061832448216,0.3
22,400,0.306855934346982,0.4
22,500,0.30506885585841,0.5
22,600,0.29726072619464,0.6
22,700,0.289688625490012,0.7
22,800,0.28897105839368,0.8
22,900,0.284772207264221,0.9
22,1000,0.273259935803008,1
23,0,0.485005215394446,0
23,100,0.35458489890327,0.1
23,200,0.338913345870767,0.2
23,300,0.328109147276942,0.3
23,400,0.322306071896298,0.4
23,500,0.316825539939088,0.5
23,600,0.316831169284559,0.6
23,700,0.307767312018181,0.7
23,800,0.30541221606659,0.8
23,900,0.302355337600332,0.9
23,1000,0.296310052179954,1
24,0,0.475584741780317,0
24,100,0.351008310225009,0.1
24,200,0.337269863409007,0.2
24,300,0.32597675122489,0.3
24,400,0.316138018190946,0.4
24,500,0.31223827162754,0.5
24,600,0.307470791347944,0.6
24,700,0.299509659127742,0.7
24,800,0.294355417974434,0.8
24,900,0.286261193312599,0.9
24,1000,0.282714205625785,1
