chr	bin_bdr	mean
1	0	0.677749686157388
1	10	0.557245645877668
1	20	0.502121197156967
1	30	0.468978410274104
1	40	0.438958560410661
1	50	0.420765032992247
1	60	0.405905852596747
1	70	0.397198640853936
1	80	0.38156641143186
1	90	0.37560884860953
1	100	0.370889627604534
1	110	0.362531940204029
1	120	0.361583511500348
1	130	0.360211000720934
1	140	0.359348250542007
1	150	0.353156926239171
1	160	0.3487812621881
1	170	0.345847702951988
1	180	0.342809422723469
1	190	0.348918610372442
1	200	0.346051985521087
1	210	0.333778231339247
1	220	0.34581466243614
1	230	0.346021733677317
1	240	0.335512165463845
1	250	0.335263961034754
1	260	0.330267093689076
1	270	0.329613009410783
1	280	0.330682830960418
1	290	0.330545265970667
1	300	0.325148667479084
1	310	0.327548677267813
1	320	0.326257306190745
1	330	0.327832918811799
1	340	0.329284588918352
1	350	0.321363357492376
1	360	0.329712690889322
1	370	0.316968665496527
1	380	0.318920402974742
1	390	0.323706853485066
1	400	0.321575430556753
1	410	0.319294324024742
1	420	0.318765733486299
1	430	0.31437662753162
1	440	0.322104831346801
1	450	0.317736412989293
1	460	0.317108070605711
1	470	0.314621730806265
1	480	0.314473486126856
1	490	0.309323058798568
1	500	0.317848264482047
1	510	0.312740568228
1	520	0.313004053287149
1	530	0.315479161482021
1	540	0.310539579650979
1	550	0.312677536334973
1	560	0.313824861094757
1	570	0.308388346123153
1	580	0.315894795887601
1	590	0.311231493511548
1	600	0.311329507708517
1	610	0.303329286644582
1	620	0.30679558354047
1	630	0.307589769729635
1	640	0.304350167832141
1	650	0.303949424972218
1	660	0.305806664831095
1	670	0.301171277804138
1	680	0.300917898943003
1	690	0.30608659305499
1	700	0.300577458952763
1	710	0.298399125430121
1	720	0.300273530995142
1	730	0.296581855255021
1	740	0.298784987886896
1	750	0.297327649782034
1	760	0.295635013877435
1	770	0.298130888299265
1	780	0.292954561622793
1	790	0.30083432523249
1	800	0.295085937812555
1	810	0.293673297176
1	820	0.29775642218486
1	830	0.291625022889221
1	840	0.293587640932228
1	850	0.287579081081988
1	860	0.289056034897533
1	870	0.290601420976435
1	880	0.2873736614117
1	890	0.287461384464604
1	900	0.287028222759682
1	910	0.288599180045976
1	920	0.287551502515318
1	930	0.279999324765896
1	940	0.286163678754179
1	950	0.284741634239757
1	960	0.282915396745529
1	970	0.286713074805476
1	980	0.280063602628195
1	990	0.282041323204253
2	0	0.553052358806765
2	10	0.450998981732018
2	20	0.407357324996652
2	30	0.381631625944295
2	40	0.364065188150149
2	50	0.349127583143121
2	60	0.340548955875884
2	70	0.33303087523832
2	80	0.328385310089163
2	90	0.317422362692276
2	100	0.315876775930445
2	110	0.312027259331994
2	120	0.306115002812225
2	130	0.305789984055766
2	140	0.304443005210605
2	150	0.298822617390068
2	160	0.297939418678808
2	170	0.296253244950536
2	180	0.289947679998944
2	190	0.297078883815801
2	200	0.28993118397218
2	210	0.29277184165755
2	220	0.292596643386191
2	230	0.287330211991113
2	240	0.28709274319561
2	250	0.285413142796179
2	260	0.280267297314827
2	270	0.278475209056307
2	280	0.280276405664623
2	290	0.278418298991598
2	300	0.275790570623863
2	310	0.275660666295757
2	320	0.269238374707604
2	330	0.270390787353157
2	340	0.269554348201458
2	350	0.265891084124027
2	360	0.267483881214543
2	370	0.267927770768343
2	380	0.263293467731512
2	390	0.261743472799253
2	400	0.264926309507079
2	410	0.262480863259431
2	420	0.263505973235228
2	430	0.264574811515758
2	440	0.263890306800126
2	450	0.259348621753868
2	460	0.260864191003143
2	470	0.254676576876514
2	480	0.258641600646605
2	490	0.256038393052742
2	500	0.257881076373284
2	510	0.255018478947564
2	520	0.255795864611217
2	530	0.250001803417434
2	540	0.25220172757466
2	550	0.24916739428115
2	560	0.25012182142905
2	570	0.245484113602849
2	580	0.248834671618514
2	590	0.24711743451808
2	600	0.244315812271804
2	610	0.244254222499358
2	620	0.24088633267387
2	630	0.243509535185318
2	640	0.240904943177244
2	650	0.240864590400765
2	660	0.240617123619158
2	670	0.238629614222733
2	680	0.231384831794213
2	690	0.233988045849505
2	700	0.231906459295284
2	710	0.235412456083118
2	720	0.235315131353112
2	730	0.230021573600711
2	740	0.231884193946206
2	750	0.232724490103012
2	760	0.234924263566106
2	770	0.232318898527042
2	780	0.227433947342613
2	790	0.22797559222326
2	800	0.22783446012303
2	810	0.229434996998296
2	820	0.231246094474662
2	830	0.229460919149382
2	840	0.229597431638094
2	850	0.224599151621602
2	860	0.226830818569817
2	870	0.226652579719117
2	880	0.227891330405167
2	890	0.225123903480909
2	900	0.223110072252161
2	910	0.219953370181122
2	920	0.220715417436476
2	930	0.222361813745508
2	940	0.218343162913953
2	950	0.214462884108846
2	960	0.21617807805045
2	970	0.219952829742974
2	980	0.213840195158178
2	990	0.212097421043941
3	0	0.661555521923274
3	10	0.536620390878692
3	20	0.483100192495873
3	30	0.441945293799101
3	40	0.411319317546079
3	50	0.395454301781093
3	60	0.38223249361674
3	70	0.367367948230855
3	80	0.363781907015965
3	90	0.351848612180666
3	100	0.340899968629897
3	110	0.339256067282335
3	120	0.332525503128864
3	130	0.328642060868528
3	140	0.329382246253933
3	150	0.325777422379027
3	160	0.327346803602671
3	170	0.325336088572617
3	180	0.319607415151158
3	190	0.325113943332269
3	200	0.31896204990644
3	210	0.320676144349382
3	220	0.313111972963396
3	230	0.313060703176853
3	240	0.309617594151343
3	250	0.308870433538887
3	260	0.308781984511052
3	270	0.303693350119581
3	280	0.3072063927497
3	290	0.302895291332018
3	300	0.305618724166969
3	310	0.295957570433151
