P1	P2	P3	chr	d_stat	z_score	admix_f	f_ci_lower	f_ci_upper
javanicus	HdrR	11_1	all	0.890560640338873	252.901754205499	0.62566196171054	0.605029799426863	0.646294123994217
javanicus	HdrR	11_1	1	0.937703285410067	173.983918243729	0.80509338478902	0.763867660771376	0.846319108806663
javanicus	HdrR	11_1	2	0.894126974446545	78.2488357473137	0.696766524013314	0.643837619219596	0.749695428807032
javanicus	HdrR	11_1	3	0.847360753109941	49.9194255157081	0.443974464418596	0.383423668883568	0.504525259953623
javanicus	HdrR	11_1	4	0.922499655124845	91.7803421142299	0.682093663911846	0.600125394297122	0.76406193352657
javanicus	HdrR	11_1	5	0.8716619134042	45.5983159015409	0.569261409381754	0.482389346222431	0.656133472541076
javanicus	HdrR	11_1	6	0.866339534202431	36.7445471497765	0.541310019682336	0.417877233236982	0.664742806127691
javanicus	HdrR	11_1	7	0.810734463276836	47.9371260900803	0.491877079663339	0.426170165185444	0.557583994141235
javanicus	HdrR	11_1	8	0.814118372379778	33.3782380888451	0.485051664753157	0.388917221989701	0.581186107516614
javanicus	HdrR	11_1	9	0.87285789612444	57.1620911815224	0.567494414847912	0.471304252094887	0.663684577600937
javanicus	HdrR	11_1	10	0.922062121284412	142.24855909827	0.75279060253638	0.69511668121617	0.81046452385659
javanicus	HdrR	11_1	11	0.808328375966686	41.0783746838066	0.40249036466054	0.346705855093456	0.458274874227623
javanicus	HdrR	11_1	12	0.877840909090909	51.4731598012786	0.668681701929784	0.560614572556721	0.776748831302847
javanicus	HdrR	11_1	13	0.807960992076516	25.5203410105852	0.422566263289403	0.342442457394984	0.502690069183822
javanicus	HdrR	11_1	14	0.889102102822419	46.5934134610328	0.665229368786681	0.563856258703749	0.766602478869613
javanicus	HdrR	11_1	15	0.865034651243955	51.59766511155	0.528327749010052	0.435207505553888	0.621447992466215
javanicus	HdrR	11_1	16	0.889965240184626	49.2366351930746	0.574237412715913	0.484733828295414	0.663740997136412
javanicus	HdrR	11_1	17	0.880379709976123	32.0524078716684	0.579661276726186	0.445661914263069	0.713660639189303
javanicus	HdrR	11_1	18	0.877409354360426	73.5938074857488	0.675037617392207	0.596626843638834	0.75344839114558
javanicus	HdrR	11_1	19	0.87921481036038	72.4687348545769	0.571165541483011	0.514191740380518	0.628139342585503
javanicus	HdrR	11_1	20	0.883487106695056	43.751088419293	0.607639736392482	0.510667853269602	0.704611619515363
javanicus	HdrR	11_1	21	0.930877360176306	108.799695412858	0.734643041782206	0.679422753486879	0.789863330077533
javanicus	HdrR	11_1	22	0.836464328374416	44.318730295462	0.433796634967081	0.36990370889143	0.497689561042733
javanicus	HdrR	11_1	23	0.924690486881776	141.367102329298	0.806480513662834	0.753354607365134	0.859606419960534
javanicus	HdrR	11_1	24	0.877110956036288	39.1164602728075	0.657331655129012	0.55994201465146	0.754721295606564
javanicus	HdrR	117_2	all	0.890596887652342	251.042717646822	0.622820362037226	0.602801141153899	0.642839582920554
javanicus	HdrR	117_2	1	0.938013955305022	176.24928946535	0.808872539199796	0.771426760418963	0.84631831798063
javanicus	HdrR	117_2	2	0.897031991241941	78.4836275156421	0.719555577213586	0.654665362303042	0.78444579212413
javanicus	HdrR	117_2	3	0.852564811741712	51.1346381471201	0.53009238086527	0.435562845450641	0.6246219162799
javanicus	HdrR	117_2	4	0.924603065408217	86.9249454154226	0.6909064742285	0.607201249834196	0.774611698622803
javanicus	HdrR	117_2	5	0.868262314118899	45.6995577784275	0.561419585954097	0.4752683728276	0.647570799080593
javanicus	HdrR	117_2	6	0.866918907119729	36.6157067177916	0.546220411153335	0.43322479968891	0.65921602261776
javanicus	HdrR	117_2	7	0.814453434872283	53.1982872501678	0.451204000175446	0.390708768419136	0.511699231931757
javanicus	HdrR	117_2	8	0.812656280053856	32.265273035577	0.498185075189742	0.392595413248739	0.603774737130745
javanicus	HdrR	117_2	9	0.869309016690259	53.9109661216416	0.532683833932975	0.466486893108748	0.598880774757201
javanicus	HdrR	117_2	10	0.92043611031587	136.485060726287	0.710128120167882	0.659486923765894	0.76076931656987
javanicus	HdrR	117_2	11	0.812640549177417	41.1550458301895	0.464452096414827	0.388692421586543	0.540211771243111
javanicus	HdrR	117_2	12	0.874654660800164	50.5828754320299	0.609806433247936	0.493749516693589	0.725863349802284
javanicus	HdrR	117_2	13	0.81436433427369	26.2287039203061	0.430607066172165	0.346502927591026	0.514711204753304
javanicus	HdrR	117_2	14	0.884970546091387	42.4579446157706	0.583845709180724	0.488818334915117	0.678873083446332
javanicus	HdrR	117_2	15	0.861962117047329	50.4019952358686	0.543839758125472	0.43753664804624	0.650142868204704
javanicus	HdrR	117_2	16	0.888876205696022	49.2801016725606	0.569964871194379	0.481101664335132	0.658828078053626
javanicus	HdrR	117_2	17	0.876388888888889	30.1498477758997	0.579249178071718	0.435268720654071	0.723229635489365
javanicus	HdrR	117_2	18	0.878882620811527	71.762443247595	0.586660020843717	0.524667237068681	0.648652804618754
javanicus	HdrR	117_2	19	0.882028197723798	81.2828114458266	0.654712470114509	0.584503761251964	0.724921178977053
javanicus	HdrR	117_2	20	0.884881408258379	42.6493927119276	0.581797594877401	0.478093692142205	0.685501497612598
javanicus	HdrR	117_2	21	0.930812597774433	110.657973359117	0.753103217798148	0.698397030329288	0.807809405267008
javanicus	HdrR	117_2	22	0.831770606192761	47.5501163321298	0.460146020635974	0.383833336837451	0.536458704434497
javanicus	HdrR	117_2	23	0.925040180006429	142.682269035507	0.76777773825193	0.726901845252649	0.80865363125121
